Date	AAPL	SPY	TSLA	EURUSD	META	SPOT
2024-10-31	-0.030423681135586578	-0.009896780552817508	-0.04502541757443723	-0.025600884059305717	-0.005007317030167213	0.04496241825631575
2024-11-30	0.051687198714515326	0.057301352215863854	0.3814688813287974	-0.016539079482090657	0.01187248595679824	0.23853544533887283
2024-12-31	0.05517358458534938	-0.024990136563014964	0.17000811217985845	-0.0008648856428982166	0.02031416913297024	-0.06201777926870178
2025-01-31	-0.05759794063229018	0.027016320305765618	0.0018819334389859055	-0.00019236318168702748	0.1770591970890616	0.22613885287674895
2025-02-28	0.025864276568501987	-0.014242127760312417	-0.27587740978744435	0.04126984126984112	-0.030446638183700525	0.10839485917418656
2025-03-31	-0.08150274588117823	-0.05754471408178685	-0.11543450064850835	0.052198817442719925	-0.13666511257162628	-0.09536027367970923
2025-04-30	-0.0433482810164425	-0.007624936518260461	0.08874826362092914	-0.0033365528141189316	-0.047470559542889035	0.11626638546988355
2025-05-31	-0.05359848484848484	0.06152384783069298	0.2278848880068045	0.033124834816315785	0.17939245414144378	0.08332518974559422
2025-06-30	0.02151290774464676	0.04960679602617879	-0.08312647924724337	-0.02541144367698478	0.1408013894057809	0.1536518627657335
2025-07-31	0.011705358017435552	0.021666572655702376	-0.029559906818611204	0.02248665675037187	0.04788766855154414	-0.1834910209294447
2025-08-31	0.11966887737812848	0.01906650324400294	0.08304408473091773	0.0038507615950709173	-0.04490796591041757	0.08832636383949954
2025-09-30	0.09684811275887406	0.03532365570425955	0.3320154551172614	-0.013553831727900478	-0.005188173138301444	0.0236405232592245
2025-10-31	0.06180771808112273	0.022686836730727133	0.026623493434070777	0.002160387141375786	-0.11713790325883666	-0.06114613180515749
2025-11-30	0.03237183056762061	0.001299669600304032	-0.057801822323462426	0.012934379580926247	-0.0006185535126107533	-0.08614112189464695
2025-12-31	-0.02506382825703901	-0.0005241572238063874	0.04544714880163658	0.009193836724269877	0.01955838890866035	-0.030323776445639217
2026-01-31	-0.04551490115078205	0.013662990285588927	-0.042937827981855414	-0.004386334879797671	0.08545931917864369	-0.13838232508480997
2026-02-28	0.019050931292990292	-0.008668358545790955	-0.06482191398898729	-0.029060408370753188	-0.09534129358798693	0.029159588288198313
2026-03-31	-0.039323499298471676	-0.0509327099760426	-0.0764204616034384	0.019633507853403342	-0.11657882942058317	-0.058317473880452164
2026-04-30	0.06919554748559253	0.10423342503354505	0.02657700067249502	-0.0021394950791614464	0.06952414275717289	-0.07910746324060136
2026-05-31	0.15106877838077315	0.05147031284462078	0.14191756413279877	-0.020411663807890057	0.03366375502993413	0.1145000559847722
2026-06-30	-0.07274126816126236	-0.010646353722793878	-0.03485623809633076	0.008930134827525915	-0.10860551968603616	-0.07745941167014947
2026-07-31	0.06755214278302368	-0.001285443024471311	-0.2600808368996672	0.00564040263797283	-0.011681371939853191	0.08888550083854252
2026-08-31	0.02660057024364959	0.0262252794496991	0.18232061951736767	0.0027612391060487518	0.028075658781052892	0.08737048445813489
